State,District,Year,Wheat,,
,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,35972.26,87004.67,2.42
,,2021 - 2022,36795.45,72370.03,1.97
,,2022 - 2023,38654.02,90782.83,2.35
,32. Yavatmal,2013 - 2014,34500,30700,0.89
,,2014 - 2015,29100,26800,0.92
,,2015 - 2016,35600,37600,1.06
,,2016 - 2017,60200,77900,1.29
,,2017 - 2018,12800,13000,1.02
,,2018 - 2019,34613.25,32500,0.94
,,2019 - 2020,45633,55276,1.21
,,2020 - 2021,48889.86,69842.26,1.43
,,2021 - 2022,48889.84,95659.82,1.96
,,2022 - 2023,54634.88,55339.67,1.01
