,,,,All Type of Report (All Grades) for 03-Feb-2021 to 13-Feb-2026,,,,
Maharashtra,Ahilyanagar,Cereals,Wheat,26-03-2021,65.00,Metric Tonnes,1708.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-03-2021,37.00,Metric Tonnes,1751.35,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-03-2021,17.00,Metric Tonnes,1905.88,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-03-2021,51.00,Metric Tonnes,1796.76,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-03-2021,78.00,Metric Tonnes,1635.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,31-03-2021,74.00,Metric Tonnes,1653.65,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-04-2021,61.00,Metric Tonnes,1733.70,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-04-2021,35.00,Metric Tonnes,1704.31,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-04-2021,112.00,Metric Tonnes,1727.37,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-04-2021,40.00,Metric Tonnes,1836.25,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-04-2021,159.00,Metric Tonnes,1741.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-04-2021,157.00,Metric Tonnes,1683.12,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-04-2021,43.00,Metric Tonnes,1803.84,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-04-2021,173.00,Metric Tonnes,1775.83,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-04-2021,134.00,Metric Tonnes,1642.33,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-04-2021,114.00,Metric Tonnes,1704.26,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-04-2021,57.00,Metric Tonnes,1778.09,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-04-2021,11.00,Metric Tonnes,1747.27,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-04-2021,70.00,Metric Tonnes,1719.57,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-04-2021,68.00,Metric Tonnes,1748.21,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-04-2021,19.00,Metric Tonnes,1735.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-04-2021,23.00,Metric Tonnes,1782.61,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-04-2021,36.00,Metric Tonnes,1822.36,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-04-2021,3.00,Metric Tonnes,1908.33,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-04-2021,53.00,Metric Tonnes,1775.83,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-04-2021,57.00,Metric Tonnes,1827.65,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-04-2021,44.00,Metric Tonnes,1787.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-04-2021,26.00,Metric Tonnes,1722.31,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-04-2021,27.00,Metric Tonnes,1826.30,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-04-2021,38.00,Metric Tonnes,1728.55,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-04-2021,29.00,Metric Tonnes,1754.59,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-05-2021,1.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-05-2021,21.00,Metric Tonnes,1850.48,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-05-2021,15.00,Metric Tonnes,1744.33,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-05-2021,13.00,Metric Tonnes,1799.92,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-05-2021,8.00,Metric Tonnes,1745.75,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-05-2021,14.00,Metric Tonnes,1749.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-05-2021,5.00,Metric Tonnes,1756.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-05-2021,19.00,Metric Tonnes,1851.05,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-05-2021,19.00,Metric Tonnes,1753.53,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-05-2021,20.00,Metric Tonnes,1750.05,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-05-2021,17.00,Metric Tonnes,1718.24,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-05-2021,2.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-05-2021,11.00,Metric Tonnes,1768.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-05-2021,10.00,Metric Tonnes,1749.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-05-2021,24.00,Metric Tonnes,1714.58,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-06-2021,1.00,Metric Tonnes,1745.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-06-2021,498.00,Metric Tonnes,27.93,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-06-2021,537.00,Metric Tonnes,149.67,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-06-2021,46.00,Metric Tonnes,1655.57,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-06-2021,537.00,Metric Tonnes,145.31,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-06-2021,37.00,Metric Tonnes,1848.24,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-06-2021,58.00,Metric Tonnes,1788.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-06-2021,33.00,Metric Tonnes,1767.58,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-06-2021,75.00,Metric Tonnes,1813.12,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-06-2021,54.00,Metric Tonnes,1717.87,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-06-2021,27.00,Metric Tonnes,1645.07,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-06-2021,3.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-06-2021,77.00,Metric Tonnes,1808.94,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-06-2021,46.00,Metric Tonnes,1662.83,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-06-2021,39.00,Metric Tonnes,1730.77,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-06-2021,60.00,Metric Tonnes,1761.17,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-06-2021,64.00,Metric Tonnes,1723.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-06-2021,24.00,Metric Tonnes,1791.25,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-06-2021,5.00,Metric Tonnes,1935.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-06-2021,58.00,Metric Tonnes,1800.88,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-06-2021,86.00,Metric Tonnes,1749.34,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-06-2021,59.00,Metric Tonnes,1807.59,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-06-2021,30.00,Metric Tonnes,1831.17,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,25-06-2021,36.00,Metric Tonnes,1790.42,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-06-2021,34.00,Metric Tonnes,1742.79,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-06-2021,1.00,Metric Tonnes,1712.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-06-2021,53.00,Metric Tonnes,1829.91,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-06-2021,99.00,Metric Tonnes,1799.83,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-06-2021,28.00,Metric Tonnes,1754.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-07-2021,16.00,Metric Tonnes,1828.44,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-07-2021,65.00,Metric Tonnes,1726.71,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-07-2021,11.00,Metric Tonnes,1672.73,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-07-2021,54.00,Metric Tonnes,1784.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-07-2021,24.00,Metric Tonnes,1641.67,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-07-2021,73.00,Metric Tonnes,1774.63,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,08-07-2021,94.00,Metric Tonnes,1794.18,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-07-2021,48.00,Metric Tonnes,1770.10,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-07-2021,5.00,Metric Tonnes,1725.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-07-2021,51.00,Metric Tonnes,1811.08,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-07-2021,55.00,Metric Tonnes,1678.29,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-07-2021,65.00,Metric Tonnes,1761.69,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,15-07-2021,60.00,Metric Tonnes,1763.10,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-07-2021,57.00,Metric Tonnes,1727.81,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-07-2021,7.00,Metric Tonnes,1741.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-07-2021,59.00,Metric Tonnes,1767.95,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-07-2021,10.00,Metric Tonnes,1890.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-07-2021,16.00,Metric Tonnes,1777.19,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-07-2021,96.00,Metric Tonnes,1716.93,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-07-2021,66.00,Metric Tonnes,1762.30,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-07-2021,10.00,Metric Tonnes,1820.50,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-07-2021,41.00,Metric Tonnes,1787.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-07-2021,69.00,Metric Tonnes,1755.86,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-07-2021,39.00,Metric Tonnes,1714.10,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,29-07-2021,67.00,Metric Tonnes,1735.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-07-2021,52.00,Metric Tonnes,1748.10,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,31-07-2021,13.00,Metric Tonnes,1733.69,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-08-2021,41.00,Metric Tonnes,1803.41,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,03-08-2021,67.00,Metric Tonnes,1739.88,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,04-08-2021,64.00,Metric Tonnes,1825.75,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,05-08-2021,53.00,Metric Tonnes,1771.23,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,06-08-2021,70.00,Metric Tonnes,1764.16,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,07-08-2021,14.00,Metric Tonnes,1833.86,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,09-08-2021,72.00,Metric Tonnes,1731.56,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,10-08-2021,78.00,Metric Tonnes,1743.99,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,11-08-2021,22.00,Metric Tonnes,1794.59,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,12-08-2021,23.00,Metric Tonnes,1744.17,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,13-08-2021,48.00,Metric Tonnes,1695.65,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,14-08-2021,10.00,Metric Tonnes,1816.60,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,16-08-2021,26.00,Metric Tonnes,1842.69,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,17-08-2021,13.00,Metric Tonnes,1685.77,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,18-08-2021,41.00,Metric Tonnes,1747.73,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,19-08-2021,25.00,Metric Tonnes,1709.72,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,20-08-2021,50.00,Metric Tonnes,1663.94,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,21-08-2021,45.00,Metric Tonnes,1669.87,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,22-08-2021,1.00,Metric Tonnes,1990.00,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,23-08-2021,56.00,Metric Tonnes,1731.39,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,24-08-2021,54.00,Metric Tonnes,1728.07,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,25-08-2021,17.00,Metric Tonnes,1735.94,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,26-08-2021,56.00,Metric Tonnes,1680.16,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,27-08-2021,29.00,Metric Tonnes,1791.03,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,28-08-2021,46.00,Metric Tonnes,1747.17,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,30-08-2021,83.00,Metric Tonnes,1774.35,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,31-08-2021,44.00,Metric Tonnes,1670.68,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,01-09-2021,57.00,Metric Tonnes,1717.37,Rs./Quintal
Maharashtra,Ahilyanagar,Cereals,Wheat,02-09-2021,71.00,Metric Tonnes,1836.55,Rs./Quintal
