State / UT,State / UT,No. of Farmers Insured,Area Insured (Ha),Sum Insured,Farmers' Premium,GOI Premium (share),State Govt Premium (share),Gross Premium,Claims Payable,Claims Paid,No. of Farmers benefitted
Rabi 2013-14,Jharkhand,68801,63843.97,15747.51,598.68,175.07,175.07,948.81,543.02,NA,43641
Rabi 2013-14,Karnataka,4174,8435.01,1167.4,63.59,27.5,27.5,118.58,156.6,156.6,2623
Rabi 2013-14,Kerala,17097,13981.31,4114.03,130.53,123.42,123.42,377.37,297.55,143.38,13737
Rabi 2013-14,Madhya Pradesh,22364,14463.42,7597.27,455.84,227.92,227.92,911.67,1809.54,19.81,22364
Rabi 2013-14,Maharashtra,52084,55083.08,43501.43,2451.85,1244.24,1338.63,5034.72,9358.07,9358.07,32494
Rabi 2013-14,Rajasthan,2609769,2734323.52,370242.93,18966.79,6361.62,6361.62,31690.02,42547.45,42157.19,1581452
Rabi 2013-14,Uttar Pradesh,102876,74420.17,25322.22,1215.46,405.16,405.16,2025.77,972.34,860.49,63775
Rabi 2013-14,Uttarakhand,5219,1646.18,2550.95,153.06,76.53,76.53,306.11,335.72,334.45,4239
Rabi 2013-14,West Bengal,904,368.69,199.06,11.94,5.97,5.97,23.89,2.42,NA,730
TOTAL,TOTAL,5302453,5368251.34,1090015.28,51194.66,19092.87,22003.88,92291.38,81022.11,61942.27,3772609
Kharif 2014,Andhra Pradesh,93303,167778.37,45426.24,2270.16,1135.08,1135.08,4540.32,NA,NA,NA
Kharif 2014,Assam,21642,11337.55,6901.36,347.19,173.59,173.59,694.38,482.59,0,4261
Kharif 2014,Bihar,1846846,1700741.79,382666.89,19133.34,9566.67,9566.67,38266.69,995.27,NA,58012
Kharif 2014,Chhatisgarh,974199,1688771.55,335129.88,16756.5,8378.25,8378.25,33513,10298.91,6943.22,282173
Kharif 2014,Himachal Pradesh,856,95.38,95.38,5.01,2.5,2.5,10.01,10.84,NA,856
Kharif 2014,Jammu & Kashmir,1364,809.22,461.26,23.06,11.54,11.54,46.13,5.8,NA,245
Kharif 2014,Jharkhand,158589,157980.21,39476.8,1973.84,986.92,986.92,3947.69,189.33,NA,11700
Kharif 2014,Karnataka,136043,139170.86,75844.32,4550.65,2275.33,2275.33,9101.31,31.01,NA,1671
Kharif 2014,Kerala,17911,11800.57,4213.09,118.76,155.11,155.11,428.98,NA,NA,NA
Kharif 2014,Madhya Pradesh,68122,32614.36,21166.39,1269.98,634.99,634.99,2539.97,NA,NA,NA
Kharif 2014,Maharashtra,1290695,1148388.56,199601.92,10004.49,4788.79,4788.79,19582.07,20599.56,20599.56,728240
Kharif 2014,Rajasthan,3302772,4312649.35,144189.08,9234.03,11828.87,11828.87,32891.78,1985.68,561.18,281773
Kharif 2014,Telengana,69115,67881.05,19503.8,962.59,481.29,481.29,1925.18,NA,NA,NA
Kharif 2014,Uttar Pradesh,120392,151616.81,22518.76,1351.13,2358.74,2358.74,6068.62,4297.1,1473.47,44364
Kharif 2014,Uttarakhand,34179,14149.9,11168.05,528.22,247.09,247.09,1022.4,188.51,119,22977
Kharif 2014,West Bengal,1267,350.91,213.14,11.77,5.89,5.89,23.54,NA,NA,NA
TOTAL,TOTAL,8137295,9606136.45,1308576.37,68540.73,43030.66,43030.66,154602.05,39084.59,29696.43,1436272
